"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"195",164.5,0.5,0.5,15.5,121.5,143.5,0.5,0.5,14.5,0.5,28.5,15.5,0.5,0.5
"196",73.5,42.5,114.5,83.5,82.5,133.5,71.5,46.5,43.5,68.5,26.5,29.5,7.5,64.5
"197",40.5,16.5,158.5,59.5,159.5,229.5,42.5,8.5,23.5,31.5,35.5,24.5,22.5,23.5
"198",107.5,132.5,33.5,105.5,33.5,111.5,137.5,25.5,20.5,9.5,7.5,7.5,0.5,20.5
"199",185.5,264.5,136.5,85.5,476.5,126.5,130.5,20.5,55.5,38.5,93.5,48.5,15.5,15.5
"200",71.5,38.5,30.5,48.5,69.5,7.5,9.5,14.5,30.5,10.5,17.5,88.5,9.5,10.5
"201",65.5,134.5,46.5,47.5,137.5,63.5,19.5,18.5,56.5,74.5,0.5,186.5,17.5,10.5
"202",51.5,55.5,86.5,198.5,18.5,77.5,65.5,27.5,20.5,0.5,5.5,0.5,0.5,0.5
"203",41.5,135.5,24.5,171.5,226.5,115.5,20.5,37.5,16.5,62.5,80.5,70.5,27.5,10.5
"204",138.5,91.5,208.5,127.5,227.5,176.5,65.5,60.5,43.5,16.5,53.5,49.5,207.5,44.5
"205",132.5,78.5,24.5,35.5,43.5,84.5,106.5,101.5,41.5,15.5,27.5,17.5,16.5,23.5
"206",136.5,380.5,590.5,72.5,63.5,90.5,15.5,0.5,59.5,0.5,0.5,0.5,0.5,0.5
"207",98.5,83.5,76.5,14.5,96.5,26.5,197.5,13.5,146.5,14.5,64.5,66.5,35.5,18.5
"208",222.5,119.5,261.5,270.5,108.5,89.5,139.5,0.5,42.5,0.5,0.5,0.5,0.5,0.5
"209",142.5,196.5,153.5,55.5,34.5,42.5,12.5,0.5,0.5,26.5,94.5,28.5,45.5,0.5
"210",60.5,53.5,65.5,39.5,31.5,120.5,88.5,45.5,37.5,10.5,30.5,62.5,14.5,53.5
"211",15.5,42.5,69.5,19.5,54.5,45.5,38.5,5.5,24.5,36.5,15.5,83.5,3.5,26.5
"212",65.5,151.5,97.5,70.5,56.5,52.5,127.5,29.5,61.5,24.5,44.5,25.5,70.5,31.5
"213",132.5,124.5,80.5,184.5,103.5,140.5,185.5,121.5,31.5,84.5,68.5,46.5,60.5,73.5
"214",404.5,247.5,140.5,75.5,59.5,140.5,103.5,4.5,37.5,0.5,12.5,0.5,0.5,0.5
"215",125.5,21.5,40.5,52.5,27.5,195.5,193.5,5.5,76.5,7.5,39.5,54.5,47.5,20.5
"216",59.5,63.5,319.5,93.5,210.5,118.5,76.5,61.5,33.5,8.5,9.5,32.5,0.5,34.5
"217",18.5,26.5,61.5,105.5,20.5,84.5,9.5,7.5,11.5,11.5,15.5,9.5,0.5,0.5
"218",15.5,88.5,102.5,131.5,62.5,96.5,49.5,39.5,23.5,20.5,90.5,93.5,95.5,16.5
"219",132.5,111.5,86.5,127.5,150.5,83.5,144.5,100.5,82.5,2.5,31.5,85.5,26.5,13.5
"220",10.5,41.5,58.5,55.5,19.5,8.5,67.5,13.5,13.5,61.5,6.5,36.5,34.5,0.5
"221",58.5,137.5,56.5,75.5,5.5,44.5,63.5,72.5,122.5,42.5,13.5,35.5,25.5,0.5
"222",99.5,54.5,15.5,71.5,137.5,89.5,40.5,0.5,60.5,8.5,7.5,0.5,0.5,0.5
"223",196.5,125.5,160.5,154.5,86.5,151.5,69.5,91.5,37.5,13.5,10.5,71.5,13.5,24.5
"224",67.5,58.5,187.5,248.5,50.5,358.5,289.5,49.5,101.5,97.5,79.5,27.5,408.5,17.5
"225",67.5,19.5,47.5,282.5,89.5,34.5,99.5,0.5,14.5,16.5,110.5,11.5,80.5,16.5
"226",79.5,89.5,96.5,163.5,138.5,32.5,59.5,132.5,17.5,0.5,76.5,20.5,14.5,56.5
"227",53.5,0.5,103.5,94.5,146.5,142.5,79.5,29.5,28.5,19.5,54.5,86.5,9.5,97.5
"228",0.5,0.5,11.5,68.5,94.5,25.5,109.5,0.5,37.5,0.5,62.5,50.5,0.5,31.5
