"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
5.5,11,190,33,48.5,109.5,17.5
13.5,91,263,124,130.5,155.5,152.5
5.5,4,174,444,90.5,371.5,122.5
5.5,21,297,33,92.5,212.5,45.5
26.5,72,338,149,46.5,275.5,199.5
35.5,38,243,80,47.5,9.5,81.5
5.5,18,398,130,44.5,45.5,125.5
38.5,37,248,271,85.5,72.5,110.5
33.5,2,429,217,14.5,173.5,39.5
5.5,228,307,335,14.5,109.5,186.5
5.5,50,224,122,69.5,155.5,10.5
60.5,69,126,271,91.5,382.5,196.5
40.5,180,1022,474,2.5,433.5,83.5
5.5,81,355,93,102.5,389.5,122.5
5.5,102,275,271,25.5,643.5,402.5
5.5,85,554,264,72.5,202.5,117.5
26.5,35,401,166,109.5,325.5,186.5
13.5,35,368,134,83.5,123.5,105.5
75.5,29,468,190,137.5,177.5,59.5
35.5,2,433,197,126.5,193.5,58.5
20.5,13,152,139,82.5,169.5,57.5
12.5,30,218,173,78.5,154.5,55.5
44.5,37,203,69,33.5,107.5,53.5
140.5,51,325,248,156.5,565.5,366.5
63.5,115,403,444,85.5,444.5,146.5
60.5,28,200,112,91.5,210.5,60.5
12.5,48,344,173,99.5,385.5,267.5
25.5,85,309,115,72.5,177.5,52.5
12.5,12,316,129,64.5,303.5,144.5
15.5,68,730,293,246.5,475.5,84.5
12.5,2,367,166,94.5,259.5,75.5
17.5,23,203,193,49.5,199.5,102.5
70.5,90,243,166,60.5,161.5,90.5
89.5,38,268,129,23.5,311.5,145.5
32.5,50,345,490,177.5,272.5,103.5
11.5,165,711,342,84.5,468.5,61.5
216.5,35,407,386,106.5,443.5,33.5
30.5,14,316,215,124.5,326.5,369.5
35.5,35,151,188,110.5,363.5,261.5
78.5,22,534,183,193.5,380.5,286.5
49.5,58,493,200,61.5,245.5,158.5
16.5,53,108,165,50.5,365.5,142.5
122.5,26,321,231,57.5,835.5,315.5
36.5,87,429,427,15.5,260.5,218.5
55.5,31,136,64,114.5,572.5,279.5
58.5,16,55,70,59.5,127.5,94.5
5.5,14,292,248,123.5,198.5,124.5
5.5,39,162,228,83.5,467.5,471.5
5.5,2,340,157,31.5,125.5,95.5
112.5,201,548,404,94.5,342.5,158.5
27.5,2,115,69,44.5,10.5,93.5
26.5,37,256,307,181.5,446.5,281.5
18.5,34,175,86,88.5,69.5,40.5
62.5,27,239,125,65.5,110.5,105.5
17.5,20,134,112,111.5,80.5,45.5
151.5,35,485,198,156.5,111.5,32.5
36.5,41,291,155,104.5,195.5,143.5
20.5,17,184,167,63.5,137.5,60.5
153.5,97,571,201,137.5,594.5,308.5
15.5,42,375,183,47.5,351.5,113.5
5.5,25,115,184,49.5,151.5,61.5
118.5,20,703,190,110.5,182.5,28.5
5.5,18,175,133,11.5,258.5,394.5
5.5,74,577,185,104.5,125.5,203.5
21.5,18,130,174,0.5,178.5,107.5
19.5,175,85,274,67.5,107.5,69.5
5.5,2,292,159,46.5,247.5,130.5
20.5,18,259,260,41.5,294.5,171.5
20.5,2,448,133,56.5,183.5,85.5
47.5,22,309,128,57.5,189.5,227.5
52.5,2,500,131,35.5,176.5,107.5
5.5,13,162,55,73.5,67.5,100.5
5.5,14,245,195,111.5,175.5,75.5
5.5,2,210,1,0.5,29.5,1.5
26.5,9,244,150,29.5,371.5,282.5
5.5,35,568,399,94.5,338.5,243.5
21.5,47,288,266,37.5,457.5,137.5
47.5,18,293,188,69.5,294.5,76.5
11.5,11,156,99,64.5,63.5,93.5
5.5,2,129,241,59.5,466.5,270.5
42.5,2,59,173,168.5,570.5,584.5
5.5,11,357,170,67.5,434.5,282.5
48.5,15,65,131,51.5,368.5,162.5
57.5,2,524,113,116.5,559.5,345.5
71.5,15,221,454,14.5,678.5,179.5
13.5,51,206,23,19.5,514.5,320.5
5.5,43,63,182,23.5,664.5,293.5
5.5,74,257,61,38.5,207.5,132.5
5.5,99,489,312,95.5,740.5,609.5
31.5,2,39,64,39.5,324.5,741.5
5.5,15,301,273,76.5,664.5,584.5
64.5,51,289,77,16.5,491.5,544.5
5.5,198,300,327,88.5,965.5,629.5
5.5,67,171,46,27.5,156.5,1.5
255.5,50,511,262,125.5,353.5,1.5
23.5,59,713,243,183.5,492.5,183.5
27.5,12,185,1,25.5,542.5,442.5
5.5,16,1,16,0.5,481.5,425.5
193.5,25,49,124,96.5,312.5,585.5
5.5,76,160,328,33.5,845.5,451.5
25.5,92,165,246,88.5,420.5,157.5
23.5,2,183,175,44.5,172.5,95.5
20.5,143,451,100,72.5,147.5,222.5
38.5,13,382,145,82.5,880.5,503.5
19.5,47,44,105,85.5,449.5,752.5
43.5,9,191,40,74.5,264.5,135.5
27.5,29,74,44,48.5,309.5,202.5
33.5,60,262,119,109.5,461.5,100.5
13.5,185,65,150,87.5,1120.5,579.5
22.5,25,32,10,9.5,144.5,162.5
30.5,67,112,128,49.5,305.5,441.5
29.5,2,164,93,96.5,714.5,508.5
26.5,2,189,115,67.5,268.5,403.5
5.5,2,15,21,0.5,30.5,1.5
5.5,13,143,135,64.5,517.5,591.5
5.5,8,171,150,12.5,589.5,713.5
59.5,33,144,267,38.5,556.5,274.5
5.5,2,68,101,40.5,435.5,219.5
7.5,2,105,72,59.5,518.5,402.5
38.5,2,83,60,19.5,342.5,389.5
22.5,13,187,158,58.5,415.5,320.5
5.5,81,158,120,65.5,899.5,375.5
38.5,71,184,105,73.5,441.5,264.5
5.5,17,66,147,23.5,271.5,679.5
14.5,12,119,86,106.5,669.5,875.5
41.5,15,110,52,39.5,112.5,418.5
5.5,2,51,79,42.5,243.5,209.5
99.5,2,53,126,149.5,331.5,451.5
30.5,2,218,22,19.5,985.5,1087.5
5.5,31,40,131,0.5,206.5,265.5
5.5,25,98,1,61.5,360.5,336.5
14.5,19,36,60,0.5,263.5,511.5
5.5,2,119,78,51.5,549.5,915.5
5.5,9,112,76,18.5,367.5,429.5
5.5,2,66,196,35.5,403.5,328.5
5.5,2,1,45,69.5,108.5,162.5
5.5,2,174,109,101.5,462.5,405.5
20.5,8,31,178,100.5,485.5,635.5
20.5,14,202,210,130.5,641.5,572.5
22.5,2,85,90,6.5,357.5,563.5
5.5,2,7,1,0.5,7.5,7.5
12.5,7,118,39,51.5,151.5,300.5
5.5,2,1,9,0.5,43.5,2.5
13.5,17,97,92,41.5,188.5,287.5
91.5,456,2102,415,26.5,130.5,30.5
27.5,41,530,166,82.5,153.5,134.5
27.5,51,69,108,20.5,380.5,271.5
24.5,65,199,137,110.5,408.5,132.5
43.5,43,209,192,92.5,147.5,43.5
34.5,113,303,193,102.5,361.5,114.5
49.5,52,277,170,50.5,140.5,81.5
5.5,193,495,216,44.5,339.5,54.5
104.5,20,11,7,63.5,48.5,60.5
5.5,2,1,1,0.5,84.5,188.5
421.5,55,26,149,59.5,99.5,1.5
5.5,101,132,219,39.5,37.5,82.5
5.5,69,114,38,10.5,337.5,620.5
13.5,37,330,279,183.5,456.5,379.5
5.5,30,180,43,0.5,66.5,247.5
5.5,85,261,92,83.5,35.5,60.5
83.5,64,242,172,0.5,444.5,202.5
5.5,2,12,1,0.5,10.5,1.5
5.5,17,8,45,10.5,284.5,286.5
